AQI,CO2_Level_ppm,NO2_Level_ppm,PM2_5_ug_m3,PM10_ug_m3,VOC_Level_ppm,pH_Level,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Level_%,Organic_Matter_%,Plot_Area_m2,Plant_Type
188.55,778.11,40.69,40.01,36.5,3.5,6.11,41.09,37.35,42.7,48.28,1.77,54.55,Bonsai
171.49,730.5,54.51,32.19,33.43,2.45,5.53,68.01,33.77,50.18,49.85,1.37,49.19,Bonsai
107.56,818.67,50.07,31.64,38.28,3.27,7.47,152.16,75.01,81.14,76.6,4.58,508.84,Ficus
168.79,780.86,34.77,43.98,45.21,2.32,6.08,43.26,35.53,37.94,45.4,0.84,44.37,Bonsai
131.17,812.54,47.18,31.72,35.7,2.42,5.57,98.46,73.19,62.41,40.12,1.6,200.78,Orchid
149.55,740.14,39.89,33.38,39.85,2.19,6.32,55.18,43.01,37.61,49.63,1.36,51.61,Bonsai
133.14,800.88,46.81,34.85,38.49,2.86,6.66,154.34,76.39,85.73,75.06,4.09,514.24,Ficus
127.14,782.1,49.3,34.78,40.07,2.66,6.99,156.3,82.51,79.24,65.7,2.87,473.38,Ficus
144.55,880.18,49.96,40.0,43.13,2.95,5.56,87.33,56.95,56.01,47.33,2.18,207.76,Orchid
167.3,777.62,43.86,33.64,38.73,2.83,5.97,54.07,40.16,40.08,43.27,1.42,52.32,Bonsai
118.11,879.72,75.01,29.62,37.66,3.2,7.27,169.47,79.97,77.93,61.19,3.6,516.55,Ficus
142.3,774.19,36.29,33.83,41.51,1.91,6.22,60.0,40.94,42.77,50.45,2.19,52.89,Bonsai
184.3,789.19,61.67,39.48,44.54,2.26,6.21,57.24,34.87,44.76,45.96,1.33,49.33,Bonsai
148.57,787.76,53.23,43.2,44.44,2.63,5.89,90.07,61.76,53.69,42.04,1.95,197.39,Orchid
129.98,792.27,72.91,28.21,41.5,2.12,5.84,76.87,58.84,56.52,41.65,2.29,213.55,Orchid
155.98,775.0,39.34,28.31,45.41,2.65,5.61,81.89,52.15,55.4,37.52,2.21,179.39,Orchid
152.32,838.39,46.81,36.44,36.56,2.78,8.36,22.71,20.03,17.76,22.28,0.5,373.28,Succulent
141.0,735.39,35.16,34.82,44.58,2.53,5.47,99.05,60.76,55.98,41.42,2.06,172.8,Orchid
135.98,900.55,41.83,27.58,38.6,2.26,5.84,56.96,30.0,39.88,54.87,1.59,26.08,Bonsai
