AQI,CO2_Level_ppm,NO2_Level_ppm,PM2_5_ug_m3,PM10_ug_m3,pH_Level,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Level_%,Plot_Area_m2,Plant_Type
109.52,410.04,14.42,57.37,110.74,6.27,75.82,51.63,67.7,58.26,385.83,Amla
96.27,415.37,13.37,55.77,119.11,6.87,93.74,56.6,62.01,58.04,334.65,Jamun
93.01,406.72,12.13,55.62,121.78,7.53,99.48,43.02,68.7,55.1,466.16,Mango
129.31,412.5,11.86,54.48,118.54,6.3,85.16,57.4,53.63,52.48,357.23,Jamun
76.19,411.25,10.61,52.21,116.01,6.52,85.31,65.22,60.16,61.12,412.44,Jamun
87.15,427.7,10.05,46.95,116.98,6.93,76.42,54.94,65.67,57.65,373.52,Amla
104.71,429.64,8.47,51.36,116.08,6.74,115.59,48.94,72.89,54.06,457.41,Mango
119.53,429.8,9.21,54.25,113.83,6.92,103.28,61.05,60.55,66.7,435.27,Jamun
95.11,417.35,9.74,50.22,119.79,6.94,94.25,58.64,68.26,53,318.43,Amla
98.89,398.93,13.5,57.04,118.55,6.6,106.73,44.32,83.58,60.52,503.26,Mango
119.4,428.96,9.51,57.54,123.27,7.07,80.14,34.32,46.59,41.32,278.13,Neem
107.66,412.79,17.38,55.75,118.91,7.35,88.21,57.82,65.5,50.29,440.83,Amla
96.92,404.05,13.05,49.01,107.48,7.08,93.29,59.26,61.18,58.42,431.7,Jamun
115.13,420.83,11.74,55.36,123.59,6.76,82.43,66.77,59.49,64.5,381.67,Jamun
93.94,416.84,11.31,57.73,119.39,7.02,76.2,41.78,35.43,44.65,243.07,Neem
77.4,433.83,14.52,59.87,117.4,7.01,81.15,55.01,61.12,44.61,267.73,Amla
112.66,414.47,11.98,53.05,107.9,6.65,99.03,51.24,77.7,51.86,547.51,Mango
83.31,421.93,13.89,55.5,111.05,6.23,69.5,40.51,54.62,45.1,218.36,Drumstick
90.15,409.53,11.15,59.04,109.22,7.18,81.1,48.32,69.52,56.32,341.56,Amla
102.15,422.61,11.82,55.92,124.22,5.98,58.89,49.75,60.41,40.68,207.39,Drumstick
72.19,414.31,8.69,47.56,122.39,5.93,56.87,47.94,56.42,51.02,170.1,Drumstick
92.09,420.53,9.15,46.31,121.23,7.24,63.02,38.92,32.66,49.19,258.38,Neem
110.19,414.61,11.83,56.2,121.31,6.47,82.46,61.4,70.71,61.26,458.66,Jamun
71.49,411.51,10.48,55.56,124.8,5.98,61.98,43.5,49.52,59.77,204.44,Drumstick
124.25,407.26,8.14,59.4,121.59,6.65,83.32,58.13,69.11,62.27,403.86,Jamun
99.83,415.05,14.65,60.84,113.24,6.19,46.03,42.31,48.14,48.16,227.85,Drumstick
112.9,422.69,7.87,58.08,114.83,6.5,100.81,50.76,83.48,51.36,489.19,Mango
